as_of,asset_id,horizon,horizon_days,target_date,status,point_pct,actual_pct,abs_err,signed_err,low_pct,high_pct,in_band,p_up,direction_hit,brier,protocol_version,model_id,day_type,confidence,horizon_kind,paired_gain_pp,baseline_naive_pct,baseline_drift_pct,baseline_momentum_pct,beat_naive,beat_drift,beat_momentum,beat_all_three
2026-08-07,A3,1w,7,2026-08-14,resolved,1.4,2.863,1.463,-1.463,-3.5,6.0,1,0.6,1,0.16,2,model_A,data,low,forecast,1.4,0.0,4.911,-2.264,True,True,True,True
2026-08-07,A4,1w,7,2026-08-14,resolved,1.8,4.049,2.249,-2.249,-2.5,6.0,1,0.66,1,0.1156,2,model_A,data,low,forecast,1.8,0.0,6.702,4.521,True,True,False,False
2026-08-07,A5,1w,7,2026-08-14,resolved,0.9,2.315,1.415,-1.415,-3.0,5.0,1,0.57,1,0.1849,2,model_A,data,low,forecast,0.9,0.0,5.241,2.101,True,True,False,False
2026-08-13,A6,1d,1,2026-08-14,resolved,0.05,0.231,0.181,-0.181,-0.2,0.35,1,0.58,1,0.1764,4,model_A,data,medium,forecast,0.05,0.0,0.076,0.039,True,False,True,False
2026-08-13,A2,1d,1,2026-08-14,resolved,0.75,0.807,0.057,-0.057,-1.25,2.75,1,0.68,1,0.1024,4,model_A,data,low,forecast,0.75,0.0,0.438,1.507,True,True,True,True
2026-08-13,A3,1d,1,2026-08-14,resolved,0.52,0.102,0.418,0.418,-1.4,2.6,1,0.63,1,0.1369,4,model_A,data,low,forecast,-0.316,0.0,0.457,1.784,False,False,True,False
2026-08-13,A4,1d,1,2026-08-14,resolved,-1.0,-1.535,0.535,0.535,-2.8,0.9,1,0.27,1,0.0729,4,model_A,data,low,forecast,1.0,0.0,1.292,1.524,True,True,True,True
2026-08-13,A5,1d,1,2026-08-14,resolved,0.1,0.155,0.055,-0.055,-1.6,1.8,1,0.52,1,0.2304,4,model_A,data,low,forecast,0.1,0.0,0.515,1.871,True,True,True,True
2026-08-13,A1,1d,1,2026-08-14,resolved,0.02,-0.768,0.788,0.788,-1.8,1.9,1,0.52,0,0.2704,4,model_A,data,low,forecast,-0.02,0.0,0.622,-0.647,False,True,False,False
2026-08-08,A1,1w,7,2026-08-17,resolved,1.0,1.699,0.699,-0.699,-4.0,6.0,1,0.57,1,0.1849,2,model_A,weekend,low,forecast,1.0,0.0,9.354,7.18,True,True,True,True
2026-08-08,A6,1w,7,2026-08-17,resolved,0.4,0.441,0.041,-0.041,-0.15,1.0,1,0.76,1,0.0576,2,model_A,weekend,medium,forecast,0.4,0.0,0.493,1.368,True,True,True,True
2026-08-08,A2,1w,7,2026-08-17,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-08,A3,1w,7,2026-08-17,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-08,A4,1w,7,2026-08-17,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
